Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
227.298.772,-1.024.780.706,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.487.769,-1.024.828.021,Callejón Ruiseñor,No especificada,No especificado,Zacatecas,98619
22.740.266,-102.487.251,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.269.462,-1.024.841.293,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.195.674,-1.024.833.843,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.743.374,-1.024.784.034,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.194.056,-1.024.863.455,Aeropuerto,No especificada,Cieneguitas,Zacatecas,98605
227.220.569,-1.024.857.596,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.721.064,-1.024.730.157,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.449.164,-1.024.841.683,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.399.601,-102.491.173,Avenida de las Asturias,No especificada,Guadalupe,Zacatecas,98605
227.186.457,-1.024.897.676,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.377.023,-1.024.859.662,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.211.253,-1.024.869.716,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.303.396,-1.024.946.321,Calle Sahop,No especificada,Cieneguitas,Zacatecas,98605
227.470.451,-1.024.847.175,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.720.703,-1.024.764.734,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.341.691,-1.024.869.901,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.322.378,-1.024.868.853,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.218.929,-1.024.886,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.736.823,-1.024.841.137,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.330.312,-1.024.734.404,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.269.008,-1.024.724.059,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.134.408,-1.024.782.194,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.485.294,-1.024.935.885,Calle San Felipe,No especificada,Guadalupe,Zacatecas,98605
227.263.126,-1.024.816.384,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.087.761,-1.024.854.997,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.175.187,-1.024.821.472,Calle Valle de Anáhuac,No especificada,Cieneguitas,Zacatecas,98605
227.229.993,-1.024.711.795,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.261.316,-1.024.808.427,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
227.136.236,-1.024.891.519,Calle Patria,No especificada,Cieneguitas,Zacatecas,98605
2.274.377,-1.024.841.585,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.737.641,-1.024.930.648,Entrada La Zacatecana-Laguna de Arriba,No especificada,La Zacatecana,Zacatecas,98605
227.211.015,-1.024.726.868,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.200.098,-1.024.821.319,Calle Ancón,No especificada,La Zacatecana,Zacatecas,98605
227.424.839,-1.024.773.415,Camino La Zacatecana,No especificada,No especificado,Zacatecas,98605
227.075.655,-1.024.894.958,Carretera Guadalupe-Rincón de Romos,No especificada,Cieneguitas,Zacatecas,98605
227.448.917,-102.488.021,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.359.063,-1.024.954.243,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.466.197,-1.024.774.787,Calle no registrada,No especificada,No especificado,Zacatecas,98619
227.279.123,-1.024.701.362,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.723.961,-102.489.791,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.208.849,-1.024.706.395,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.222.873,-1.024.904.364,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.166.949,-1.024.768.729,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.718.957,-1.024.721.425,Calle Pedro Ruiz González,No especificada,No especificado,Zacatecas,98605
227.389.227,-1.024.854.287,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
