Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
22.7298772,-102.4780706,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7487769,-102.4828021,Callejón Ruiseñor,No especificada,No especificado,Zacatecas,98619
22.740266,-102.487251,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7269462,-102.4841293,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7195674,-102.4833843,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.743374,-102.4784034,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7194056,-102.4863455,Aeropuerto,No especificada,Cieneguitas,Zacatecas,98605
22.7220569,-102.4857596,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.721064,-102.4730157,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7449164,-102.4841683,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7399601,-102.491173,Avenida de las Asturias,No especificada,Guadalupe,Zacatecas,98605
22.7186457,-102.4897676,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7377023,-102.4859662,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7211253,-102.4869716,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7303396,-102.4946321,Calle Sahop,No especificada,Cieneguitas,Zacatecas,98605
22.7470451,-102.4847175,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.720703,-102.4764734,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7341691,-102.4869901,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7322378,-102.4868853,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7218929,-102.4886,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.736823,-102.4841137,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7330312,-102.4734404,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7269008,-102.4724059,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7134408,-102.4782194,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7485294,-102.4935885,Calle San Felipe,No especificada,Guadalupe,Zacatecas,98605
22.7263126,-102.4816384,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7087761,-102.4854997,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7175187,-102.4821472,Calle Valle de Anáhuac,No especificada,Cieneguitas,Zacatecas,98605
22.7229993,-102.4711795,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7261316,-102.4808427,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7136236,-102.4891519,Calle Patria,No especificada,Cieneguitas,Zacatecas,98605
22.74377,-102.4841585,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.737641,-102.4930648,Entrada La Zacatecana-Laguna de Arriba,No especificada,La Zacatecana,Zacatecas,98605
22.7211015,-102.4726868,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7200098,-102.4821319,Calle Ancón,No especificada,La Zacatecana,Zacatecas,98605
22.7424839,-102.4773415,Camino La Zacatecana,No especificada,No especificado,Zacatecas,98605
22.7075655,-102.4894958,Carretera Guadalupe-Rincón de Romos,No especificada,Cieneguitas,Zacatecas,98605
22.7448917,-102.488021,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7359063,-102.4954243,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7466197,-102.4774787,Calle no registrada,No especificada,No especificado,Zacatecas,98619
22.7279123,-102.4701362,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.723961,-102.489791,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7208849,-102.4706395,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7222873,-102.4904364,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7166949,-102.4768729,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.718957,-102.4721425,Calle Pedro Ruiz González,No especificada,No especificado,Zacatecas,98605
22.7389227,-102.4854287,Calle no registrada,No especificada,La Zacatecana,Zacatecas,98605
22.7348647,-102.4912422,Entrada La Zacatecana-Laguna de Arriba,No especificada,La Zacatecana,Zacatecas,98605
22.7486009,-102.497511,Privada San Jerónimo 2,No especificada,Guadalupe,Zacatecas,98605
22.7204124,-102.4753082,Calle no registrada,No especificada,No especificado,Zacatecas,98605
